iceberg_id,sequence_end_timestamp,target_timestamp,target_time_delta_hours,initial_latitude,initial_longitude,initial_velocity_ms,initial_heading_deg,distance_travelled_prev_m,physics_dx,physics_dy,actual_dx,actual_dy,physics_epe,persistence_epe,constant_velocity_epe,sea_ice_concentration,current_speed,wind_speed,current_available,wind_available,seaice_available,physics_error_x,physics_error_y,physics_error_speed,actual_displacement_magnitude,predicted_displacement_magnitude,prediction_minus_actual
a81,2026-04-30,2026-05-07,168.0,-64.38333333333334,-55.4,0.08080864496467807,356.4016147275144,55854.93539958549,-1243.028705032555,34333.994980876145,-24864.38919635443,24235.03990082885,25689.639257291936,34721.391232244045,32823.8170279272,0.5130542919505388,0.10688451689673423,4.247804962428171,1.0,1.0,1.0,23621.360491321873,10098.955080047293,0.04247625538573402,34721.391232244045,34356.488931617605,-364.9023006264397
a81,2026-05-07,2026-05-14,168.0,-64.08333333333333,-55.28333333333334,0.057409707725271236,314.26563130105677,34721.391232244045,-16317.388557205268,16703.05370003004,-1838.0977849718183,7364.723880791571,17229.45922191881,7590.636423082057,28545.01110137881,0.833155307918787,0.07165028511447932,4.097285430424868,1.0,1.0,1.0,-14479.29077223345,9338.329819238468,0.02848786247010385,7590.636423082057,23350.57113290595,15759.93470982389
a81,2026-05-14,2026-05-21,168.0,-64.03333333333333,-55.18333333333333,0.0125506554614452,345.9863342270014,7590.636423082058,-620.0419201467978,6310.492890817868,2565.262079846114,43293.75887110224,37120.18486135043,43369.69133770081,36197.86089583275,0.7534257019869983,0.14383124521770999,13.613623559908792,1.0,1.0,1.0,-3185.3039999929115,-36983.26598028437,0.06137596703265614,43369.69133770081,6340.88105138412,-37028.810286316686
a81,2026-05-21,2026-05-28,168.0,-63.833333333333336,-54.449999999999996,0.07170914573032541,3.390951694180359,43369.69133770081,2432.8805004108126,29421.48978364244,5314.427924648393,43059.56792923878,13939.171103890028,43386.28279098143,2759.1227300499563,0.845782341202721,0.12318141475473868,5.9019586925785195,1.0,1.0,1.0,-2881.5474242375803,-13638.07814559634,0.02304757126965944,43386.28279098143,29521.906588468428,-13864.376202513002
a81,2026-05-28,2026-06-04,168.0,-63.65,-53.699999999999996,0.07173657868879205,7.035885517819281,43386.28279098143,3360.4079330595987,29266.876235701646,-12375.345030135475,31383.050498341676,15877.408945686404,33734.922901888516,21195.969581640915,0.8240379032213241,0.07084502390836979,5.99525247599231,1.0,1.0,1.0,15735.752963195075,-2116.17426264003,0.02625232960596297,33734.922901888516,29459.164721228055,-4275.758180660461
a81,2026-06-04,2026-06-13,216.0,-63.4,-53.35,0.05577864236423366,338.4790892937629,33734.922901888516,-9891.926667422431,27598.673418126877,-3000.979989447631,18300.75308394339,11573.092441500443,18545.173073781993,25550.45884279001,0.7070375676266849,0.059234217703000754,7.281726486611149,1.0,1.0,1.0,-6890.9466779748,9297.920334183487,0.014883092131559212,18545.173073781993,29317.86123908233,10772.688165300337
a81,2026-06-13,2026-06-21,192.0,-63.28333333333333,-53.1,0.023849245208052976,350.68744840222325,18545.173073781993,97.3932683642274,10611.719697364535,-77004.90439970233,14901.25611013011,77221.5282698522,78433.42868488528,74349.91763375628,0.22583696991205215,0.04922854098977774,3.487449685244062,1.0,1.0,1.0,77102.29766806656,-4289.536412765576,0.11172096103855933,78433.42868488528,10612.166620636764,-67821.26206424851
a81,2026-06-21,2026-06-28,168.0,-62.666666666666664,-53.75000000000001,0.11347428918530855,280.9519692060554,78433.42868488526,-45339.149676422945,12033.287304345533,-52272.601911970414,12817.251729653915,6977.632845225327,53821.063279618036,15108.310971976798,0.6818979454692453,0.182063308810909,14.566225582781678,1.0,1.0,1.0,6933.452235547469,-783.9644253083825,0.011537091344618597,53821.063279618036,46908.831756184314,-6912.231523433722
a81,2026-06-28,2026-07-03,120.0,-62.233333333333334,-54.13333333333333,0.08898985330624676,283.7771205265007,53821.063279618036,-26335.087378810644,6385.856330780458,-10296.824145933613,86198.32485740585,81407.9604205917,86811.15018081003,81650.77027644118,0.0,0.05367094434402269,12.886912290456255,0.0,1.0,0.0,-16038.26323287703,-79812.4685266254,0.18844435282544375,86811.15018081003,27098.26541177425,-59712.88476903578
a81,2026-07-03,2026-07-12,216.0,-61.71666666666667,-52.966666666666676,0.20095173652965284,353.18800936492994,86811.15018081003,-13598.008265128083,105133.14747259385,-37492.84128134046,49237.38937251363,60788.969545924665,61887.26573026397,107602.91630843953,0.0,0.10232845684679961,11.61228666467754,0.0,1.0,0.0,23894.833016212375,55895.75810008022,0.07817511515679612,61887.26573026397,106008.88890217016,44121.62317190619
